"Year","Cancer_code","Cancer_name","Sex_code","Sex_name","SA2_code","SA2_name","p025","p10","p50","p90","p975","Prob"
"2010-2014",39,"Prostate",1,"Males",71015,"Charles Darwin",0.53,0.6,0.74,0.93,1.04,0.912
"2010-2014",39,"Prostate",1,"Males",71016,"Coconut Grove",0.55,0.6,0.71,0.84,0.92,0.991
"2010-2014",39,"Prostate",1,"Males",71017,"East Arm",0.52,0.58,0.73,0.9,1.02,0.937
"2010-2014",39,"Prostate",1,"Males",71018,"Jingili",0.64,0.7,0.83,0.98,1.07,0.842
"2010-2014",39,"Prostate",1,"Males",71019,"Karama",0.65,0.72,0.89,1.09,1.21,0.528
"2010-2014",39,"Prostate",1,"Males",71020,"Leanyer",0.61,0.67,0.8,0.96,1.06,0.887
"2010-2014",39,"Prostate",1,"Males",71021,"Lyons (NT)",0.53,0.59,0.74,0.93,1.04,0.921
"2010-2014",39,"Prostate",1,"Males",71022,"Malak - Marrara",0.64,0.69,0.79,0.9,0.97,0.977
"2010-2014",39,"Prostate",1,"Males",71023,"Millner",0.58,0.63,0.75,0.88,0.97,0.975
"2010-2014",39,"Prostate",1,"Males",71024,"Moil",0.64,0.7,0.83,0.98,1.06,0.85
"2010-2014",39,"Prostate",1,"Males",71025,"Nightcliff",0.57,0.64,0.8,0.98,1.09,0.842
"2010-2014",39,"Prostate",1,"Males",71026,"Rapid Creek",0.6,0.65,0.75,0.88,0.96,0.981
"2010-2014",39,"Prostate",1,"Males",71027,"Tiwi",0.52,0.58,0.72,0.88,0.98,0.961
"2010-2014",39,"Prostate",1,"Males",71028,"Wagaman",0.64,0.7,0.82,0.95,1.03,0.907
"2010-2014",39,"Prostate",1,"Males",71029,"Wanguri",0.59,0.65,0.77,0.91,1,0.953
"2010-2014",39,"Prostate",1,"Males",71030,"Wulagi",0.64,0.7,0.83,0.98,1.07,0.852
"2010-2014",39,"Prostate",1,"Males",71031,"Howard Springs",0.57,0.61,0.71,0.82,0.88,0.999
"2010-2014",39,"Prostate",1,"Males",71032,"Humpty Doo",0.51,0.55,0.65,0.77,0.84,0.999
"2010-2014",39,"Prostate",1,"Males",71033,"Koolpinyah",0.51,0.56,0.66,0.78,0.85,0.999
"2010-2014",39,"Prostate",1,"Males",71034,"Virginia",0.52,0.57,0.68,0.81,0.89,0.993
