Width,Height,Count
1876,961,31
412,785,31
414,739,31
375,488,31
349,660,31
6969,6969,31
1680,831,31
485,906,31
2331,1152,31
277,515,31
1680,912,31
463,839,31
1323,782,31
360,605,31
2251,1249,31
2560,1250,31
2785,1020,31
412,915,31
500,1063,31
724,289,31
424,828,31
1674,1478,31
1440,756,31
375,716,31
1024,1287,31
1435,790,31
558,1274,31
1920,983,31
980,1306,31
1194,982,31
378,730,31
768,901,31
500,394,31
1280,970,31
678,741,31
1865,979,31
408,751,31
1920,935,31
802,285,31
1565,908,31
2560,1363,31
1920,934,31
375,645,31
535,735,31
1600,1057,31
1280,1330,31
485,863,31
1536,748,31
375,606,31
378,682,31
614,480,31
832,372,31
981,926,31
414,653,31
1599,1040,31
1620,899,31
2498,1299,31
1716,1231,31
1437,684,31
1804,1462,31
960,944,31
1858,1115,31
574,681,31
1080,1759,31
1536,687,31
1706,1013,31
1610,967,31
750,390,31
1064,538,31
744,1010,31
1403,781,31
1508,1048,31
617,1224,31
360,793,31
1213,970,31
834,1009,31
504,880,31
486,956,31
320,519,31
1547,1248,31
1580,933,31
2530,2020,31
1440,706,31
763,304,30
697,247,29
1322,402,29
414,722,29
5118,1297,28
412,722,28
412,724,28
414,803,28
393,634,28
408,740,28
375,667,27
414,698,25
3000,4452,25
412,777,25
2140,1319,25
667,331,25
1280,569,25
424,826,25
1440,733,25
393,743,25
320,456,25
3440,1311,25
384,750,25
2560,1327,25
1366,952,25
360,623,25
814,386,25
1482,1259,25
360,744,25
1800,1014,25
1470,834,24
2502,806,23
744,1065,23
1920,948,23
424,797,22
1817,976,21
1315,1228,21
509,917,21
442,873,21
463,863,21
360,730,21
1792,933,21
412,737,21
414,713,21
1235,1031,21
1920,936,21
1728,871,21
412,798,21
2188,1309,21
960,546,20
1710,956,20
490,956,20
1440,1024,20
390,675,20
412,779,20
1811,1017,20
320,448,20
375,551,20
412,736,20
360,663,20
480,480,20
360,616,20
486,829,20
1920,888,20
393,787,20
412,626,20
3305,1355,20
396,743,20
384,724,20
866,304,19
360,664,19
390,659,19
1390,912,19
1920,912,19
360,729,19
384,728,19
301,342,18
408,790,18
414,617,18
500,910,17
2240,1181,17
393,766,17
3840,2056,17
2135,1330,17
1366,926,17
2560,1306,17
1592,869,17
1680,946,17
393,788,17
412,787,17
2047,1040,17
1408,764,17
6969,4242,17
2897,1345,17
1280,643,17
412,811,17
2319,1310,17
349,652,17
2524,1225,17
1200,1808,17
527,428,17
1274,924,17
376,660,17
672,336,17
1613,847,17
1491,830,17
520,833,17
430,526,17
768,908,17
1775,1109,17
1868,842,17
407,772,17
441,740,17
1536,747,17
1210,1004,17
375,683,17
349,656,17
1920,979,17
747,1068,17
349,630,17
738,313,17
1326,690,17
393,713,17
1920,981,17
1024,768,17
412,681,17
1920,945,17
1280,721,17
1792,952,17
1920,1194,17
3840,1500,17
731,758,17
712,302,17
3072,1610,17
1536,1433,17
1713,1291,17
2084,1498,17
412,792,17
1602,906,17
1717,1304,17
271,494,17
1394,742,17
408,768,17
1920,887,17
1663,1065,17
1470,847,17
3008,1588,17
408,759,17
1010,913,17
947,774,17
1395,1304,17
1968,1084,17
1400,727,17
1680,854,17
2548,1319,17
430,614,17
2505,1255,17
1916,962,17
743,474,17
1492,1016,17
475,843,17
813,855,17
390,782,17
812,375,17
1590,1678,17
1880,939,17
358,709,17
1265,1000,17
1824,975,17
1679,1045,17
432,860,17
1078,854,17
1170,855,17
1920,1067,17
393,616,17
3440,1367,17
1171,1055,17
1680,971,17
983,882,17
1305,771,17
648,1261,17
2239,1083,17
342,580,17
465,875,17
1904,951,17
360,800,17
384,783,17
2468,1828,17
1280,690,17
833,1584,17
412,799,17
375,623,17
1280,649,17
1920,920,17
1072,735,17
899,850,17
1702,1024,17
1421,1314,17
2048,1136,17
432,780,17
1440,837,17
969,747,17
414,812,17
1917,944,17
980,1774,17
384,731,17
1404,698,17
468,829,17
431,800,17
1024,698,17
1320,923,17
360,653,17
1887,1160,17
1680,950,17
